aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-262,0,72,189,478,-314,-187,93,0,2015-01-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-330,0,11,189,1023,-345,-202,42,4,2015-02-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-365,0,25,189,1606,-247,-90,135,6,2015-03-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-397,0,25,189,2127,-115,9,360,10,2015-04-01,fbb85978,51.69624427747,-70.8820017831416
850,0,-405,860,55,189,2093,0,118,580,42,2015-05-01,fbb85978,51.69624427747,-70.8820017831416
974,83,-423,1056,87,69,2057,61,181,909,61,2015-06-01,fbb85978,51.69624427747,-70.8820017831416
915,0,-329,915,143,189,1704,105,195,1303,47,2015-07-01,fbb85978,51.69624427747,-70.8820017831416
787,0,-323,787,104,189,1558,108,195,1366,42,2015-08-01,fbb85978,51.69624427747,-70.8820017831416
439,0,-344,439,86,189,1380,48,144,1087,16,2015-09-01,fbb85978,51.69624427747,-70.8820017831416
7,0,-339,36,63,189,772,-33,34,534,10,2015-10-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-371,0,58,189,342,-87,-26,436,0,2015-11-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-377,0,51,189,298,-160,-83,327,0,2015-12-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-340,0,51,189,425,-239,-131,163,2,2016-01-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-290,0,43,189,864,-270,-126,149,3,2016-02-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-240,0,54,189,1560,-221,-74,173,7,2016-03-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-210,0,46,189,2310,-135,-6,268,9,2016-04-01,fbb85978,51.69624427747,-70.8820017831416
768,0,-210,768,65,189,2285,2,121,638,42,2016-05-01,fbb85978,51.69624427747,-70.8820017831416
971,0,-160,971,116,189,2086,69,181,968,58,2016-06-01,fbb85978,51.69624427747,-70.8820017831416
1013,0,-80,1013,139,189,2031,107,202,1293,53,2016-07-01,fbb85978,51.69624427747,-70.8820017831416
827,0,-80,827,116,189,1604,94,192,1256,40,2016-08-01,fbb85978,51.69624427747,-70.8820017831416
438,0,-70,438,107,189,1143,42,130,997,19,2016-09-01,fbb85978,51.69624427747,-70.8820017831416
116,0,20,116,86,189,633,-20,50,647,9,2016-10-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-10,0,78,189,345,-85,-20,450,1,2016-11-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-20,0,60,189,345,-222,-126,174,2,2016-12-01,fbb85978,51.69624427747,-70.8820017831416
0,0,10,0,53,189,451,-238,-128,193,2,2017-01-01,fbb85978,51.69624427747,-70.8820017831416
0,0,0,0,38,189,929,-260,-128,169,2,2017-02-01,fbb85978,51.69624427747,-70.8820017831416
0,0,70,0,56,189,1600,-229,-79,158,7,2017-03-01,fbb85978,51.69624427747,-70.8820017831416
0,0,80,0,53,189,1924,-98,13,392,13,2017-04-01,fbb85978,51.69624427747,-70.8820017831416
697,0,70,697,69,189,2111,1,109,640,40,2017-05-01,fbb85978,51.69624427747,-70.8820017831416
970,0,80,970,99,189,2167,67,178,980,57,2017-06-01,fbb85978,51.69624427747,-70.8820017831416
1157,0,60,1157,122,189,2250,95,204,1154,57,2017-07-01,fbb85978,51.69624427747,-70.8820017831416
802,0,60,802,119,189,1447,81,177,1097,34,2017-08-01,fbb85978,51.69624427747,-70.8820017831416
481,0,0,481,108,189,1328,49,138,1018,23,2017-09-01,fbb85978,51.69624427747,-70.8820017831416
254,0,-30,254,86,189,613,2,78,722,8,2017-10-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-10,0,79,189,345,-109,-36,317,2,2017-11-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-20,0,60,189,320,-209,-116,180,1,2017-12-01,fbb85978,51.69624427747,-70.8820017831416
0,0,30,0,58,189,516,-279,-162,117,2,2018-01-01,fbb85978,51.69624427747,-70.8820017831416
0,0,0,0,38,189,950,-271,-133,139,1,2018-02-01,fbb85978,51.69624427747,-70.8820017831416
0,0,0,0,47,189,1570,-161,-33,229,7,2018-03-01,fbb85978,51.69624427747,-70.8820017831416
0,0,10,0,49,189,2065,-123,-7,278,12,2018-04-01,fbb85978,51.69624427747,-70.8820017831416
786,0,-20,786,67,189,2460,-26,101,501,33,2018-05-01,fbb85978,51.69624427747,-70.8820017831416
1110,19,-30,1129,102,156,2591,45,170,742,67,2018-06-01,fbb85978,51.69624427747,-70.8820017831416
1095,0,-70,1095,122,189,1975,114,225,1367,64,2018-07-01,fbb85978,51.69624427747,-70.8820017831416
929,0,-110,929,114,189,1673,96,201,1200,49,2018-08-01,fbb85978,51.69624427747,-70.8820017831416
553,0,-110,553,112,189,1278,36,132,892,23,2018-09-01,fbb85978,51.69624427747,-70.8820017831416
20,0,-60,20,85,189,640,-37,21,469,5,2018-10-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-60,0,79,189,352,-123,-65,317,1,2018-11-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-70,0,61,189,343,-212,-103,210,2,2018-12-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-100,0,42,189,483,-283,-167,98,1,2019-01-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-60,0,47,189,909,-290,-160,100,2,2019-02-01,fbb85978,51.69624427747,-70.8820017831416
0,0,20,0,52,189,1407,-218,-81,157,6,2019-03-01,fbb85978,51.69624427747,-70.8820017831416
0,0,110,0,65,189,1982,-110,2,313,13,2019-04-01,fbb85978,51.69624427747,-70.8820017831416
706,0,150,706,88,189,2301,-10,98,574,32,2019-05-01,fbb85978,51.69624427747,-70.8820017831416
919,0,150,919,96,189,2103,61,174,968,50,2019-06-01,fbb85978,51.69624427747,-70.8820017831416
1026,12,120,1038,106,168,1980,113,214,1397,55,2019-07-01,fbb85978,51.69624427747,-70.8820017831416
776,0,190,776,151,189,1566,91,188,1302,37,2019-08-01,fbb85978,51.69624427747,-70.8820017831416
464,0,80,464,71,189,1233,40,118,912,19,2019-09-01,fbb85978,51.69624427747,-70.8820017831416
195,0,-160,195,64,189,703,-7,56,649,10,2019-10-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-200,0,61,189,456,-125,-59,299,2,2019-11-01,fbb85978,51.69624427747,-70.8820017831416
0,0,-170,0,70,189,339,-200,-103,187,2,2019-12-01,fbb85978,51.69624427747,-70.8820017831416
