aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,291,0,13,191,34,-281,-216,153,0,2015-01-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,255,0,11,191,218,-284,-202,114,0,2015-02-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,245,0,10,191,841,-253,-153,140,0,2015-03-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,294,0,16,191,1770,-128,-37,213,14,2015-04-01,fbdcf1ea,67.6890461368841,-129.604425044054
918,0,77,929,2,204,2542,7,115,536,47,2015-05-01,fbdcf1ea,67.6890461368841,-129.604425044054
413,862,85,1275,32,107,2293,90,200,860,89,2015-06-01,fbdcf1ea,67.6890461368841,-129.604425044054
479,531,175,1011,47,76,1700,105,200,1126,69,2015-07-01,fbdcf1ea,67.6890461368841,-129.604425044054
442,135,238,577,45,60,1254,66,156,1062,32,2015-08-01,fbdcf1ea,67.6890461368841,-129.604425044054
204,0,326,215,41,240,476,-2,69,654,15,2015-09-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,332,0,23,240,294,-68,-18,456,0,2015-10-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,373,0,18,240,62,-210,-141,151,1,2015-11-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,320,0,7,240,7,-266,-199,84,1,2015-12-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,250,0,10,190,30,-259,-182,0,3,2016-01-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,240,0,13,190,245,-254,-169,0,4,2016-02-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,260,0,14,190,767,-230,-138,13,6,2016-03-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,220,0,5,190,1794,-120,-16,210,13,2016-04-01,fbdcf1ea,67.6890461368841,-129.604425044054
757,0,80,757,6,315,2150,5,99,470,52,2016-05-01,fbdcf1ea,67.6890461368841,-129.604425044054
423,847,-170,1270,22,116,2420,91,201,815,88,2016-06-01,fbdcf1ea,67.6890461368841,-129.604425044054
478,696,-90,1174,47,80,2051,108,213,1117,73,2016-07-01,fbdcf1ea,67.6890461368841,-129.604425044054
421,344,-70,765,42,62,1396,77,174,1008,46,2016-08-01,fbdcf1ea,67.6890461368841,-129.604425044054
284,54,-60,338,29,51,802,5,86,655,24,2016-09-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-190,0,7,51,361,-99,-33,341,7,2016-10-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-270,0,12,51,63,-222,-147,97,2,2016-11-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-380,0,11,51,7,-305,-229,52,1,2016-12-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-300,0,33,51,34,-311,-230,0,2,2017-01-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-160,0,25,51,205,-293,-209,0,3,2017-02-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-170,0,6,51,905,-294,-189,11,4,2017-03-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-190,0,3,51,1872,-138,-29,190,13,2017-04-01,fbdcf1ea,67.6890461368841,-129.604425044054
704,0,-200,704,14,315,2213,-6,86,462,45,2017-05-01,fbdcf1ea,67.6890461368841,-129.604425044054
356,946,-280,1302,14,116,2723,88,199,825,83,2017-06-01,fbdcf1ea,67.6890461368841,-129.604425044054
227,1099,-360,1326,20,80,2413,111,220,1089,87,2017-07-01,fbdcf1ea,67.6890461368841,-129.604425044054
351,476,-370,827,35,62,1584,79,178,986,55,2017-08-01,fbdcf1ea,67.6890461368841,-129.604425044054
368,0,-230,368,48,145,639,14,95,655,20,2017-09-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-190,0,23,145,260,-83,-23,351,3,2017-10-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-180,0,10,145,55,-247,-174,86,1,2017-11-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-140,0,14,145,7,-249,-175,52,0,2017-12-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-130,0,11,145,35,-296,-218,0,2,2018-01-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-60,0,19,145,194,-312,-229,0,4,2018-02-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-60,0,7,145,848,-255,-154,12,5,2018-03-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,-80,0,4,145,1886,-158,-49,190,11,2018-04-01,fbdcf1ea,67.6890461368841,-129.604425044054
500,0,120,500,14,315,2060,-24,70,462,32,2018-05-01,fbdcf1ea,67.6890461368841,-129.604425044054
512,636,90,1148,18,116,2267,83,190,831,83,2018-06-01,fbdcf1ea,67.6890461368841,-129.604425044054
430,808,110,1238,42,80,2083,106,219,1069,76,2018-07-01,fbdcf1ea,67.6890461368841,-129.604425044054
485,102,220,587,49,62,1066,57,152,1018,26,2018-08-01,fbdcf1ea,67.6890461368841,-129.604425044054
262,0,230,262,29,71,805,-15,71,617,16,2018-09-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,210,0,25,71,315,-84,-18,340,3,2018-10-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,190,0,14,71,66,-218,-147,96,2,2018-11-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,180,0,14,71,7,-270,-192,52,1,2018-12-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,180,0,15,71,36,-268,-191,76,3,2019-01-01,fbdcf1ea,67.6890461368841,-129.604425044054
0,0,160,0,10,71,245,-223,-137,105,5,2019-02-01,fbdcf1ea,67.6890461368841,-129.604425044054
