aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,836,0,51,347,429,-300,-174,128,0,2015-01-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,793,0,49,347,996,-346,-202,67,1,2015-02-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,767,0,45,347,1516,-220,-67,213,3,2015-03-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,760,0,51,347,1889,-91,34,414,13,2015-04-01,fc6b35f3,51.8787766747831,-83.2418581297491
887,0,728,887,61,347,2222,12,140,703,44,2015-05-01,fc6b35f3,51.8787766747831,-83.2418581297491
808,342,605,1150,62,127,2695,66,200,1062,60,2015-06-01,fc6b35f3,51.8787766747831,-83.2418581297491
582,562,453,1144,57,88,2241,111,237,1495,64,2015-07-01,fc6b35f3,51.8787766747831,-83.2418581297491
847,0,503,847,111,300,1667,112,220,1494,50,2015-08-01,fc6b35f3,51.8787766747831,-83.2418581297491
534,0,418,534,56,302,1473,70,182,1275,28,2015-09-01,fc6b35f3,51.8787766747831,-83.2418581297491
201,0,350,213,53,347,748,-14,79,659,15,2015-10-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,253,0,30,347,296,-63,17,551,0,2015-11-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,274,0,57,347,258,-137,-63,391,0,2015-12-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,340,0,74,347,370,-242,-139,206,1,2016-01-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,390,0,61,347,836,-266,-123,157,3,2016-02-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,270,0,8,347,1674,-182,-38,270,8,2016-03-01,fc6b35f3,51.8787766747831,-83.2418581297491
0,0,190,0,15,347,2050,-112,14,354,14,2016-04-01,fc6b35f3,51.8787766747831,-83.2418581297491
810,0,200,810,57,347,2291,10,149,745,53,2016-05-01,fc6b35f3,51.8787766747831,-83.2418581297491
1037,0,300,1037,133,347,2271,71,203,1091,64,2016-06-01,fc6b35f3,51.8787766747831,-83.2418581297491
1088,47,350,1135,106,266,2286,112,238,1481,75,2016-07-01,fc6b35f3,51.8787766747831,-83.2418581297491
814,112,330,926,72,137,1779,113,235,1516,72,2016-08-01,fc6b35f3,51.8787766747831,-83.2418581297491
553,0,370,553,98,347,1225,70,178,1189,35,2016-09-01,fc6b35f3,51.8787766747831,-83.2418581297491
265,0,370,265,65,347,572,1,89,734,17,2016-10-01,fc6b35f3,51.8787766747831,-83.2418581297491
4,0,360,4,56,347,307,-50,25,558,9,2016-11-01,fc6b35f3,51.8787766747831,-83.2418581297491
