aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,809,0,52,300,474,-276,-143,108,3,2015-01-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,758,0,34,300,1041,-324,-180,81,1,2015-02-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,737,0,52,300,1538,-213,-54,193,7,2015-03-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,746,0,63,300,1891,-86,45,421,16,2015-04-01,fd80c8b1,51.3252770945621,-78.2196728746941
989,0,701,989,78,300,2092,22,153,685,55,2015-05-01,fd80c8b1,51.3252770945621,-78.2196728746941
747,385,596,1132,59,110,2390,63,201,1013,65,2015-06-01,fd80c8b1,51.3252770945621,-78.2196728746941
620,544,453,1164,62,76,2010,119,238,1452,73,2015-07-01,fd80c8b1,51.3252770945621,-78.2196728746941
945,0,503,945,135,300,1495,133,231,1483,70,2015-08-01,fd80c8b1,51.3252770945621,-78.2196728746941
578,0,424,578,72,300,1489,76,183,1249,33,2015-09-01,fd80c8b1,51.3252770945621,-78.2196728746941
234,0,374,245,80,300,731,-8,77,651,17,2015-10-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,247,4,41,300,312,-51,30,559,3,2015-11-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,272,0,67,300,323,-105,-38,388,0,2015-12-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,360,0,81,300,403,-205,-96,207,9,2016-01-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,400,0,48,300,866,-247,-101,174,6,2016-02-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,290,0,15,300,1655,-175,-25,261,13,2016-03-01,fd80c8b1,51.3252770945621,-78.2196728746941
0,0,190,0,11,300,2136,-111,22,334,16,2016-04-01,fd80c8b1,51.3252770945621,-78.2196728746941
874,0,210,874,76,300,2236,17,153,729,54,2016-05-01,fd80c8b1,51.3252770945621,-78.2196728746941
1027,43,250,1070,100,226,2056,72,207,1037,61,2016-06-01,fd80c8b1,51.3252770945621,-78.2196728746941
1124,66,270,1190,111,152,2146,120,242,1442,74,2016-07-01,fd80c8b1,51.3252770945621,-78.2196728746941
1032,0,420,1032,169,300,1708,128,245,1484,83,2016-08-01,fd80c8b1,51.3252770945621,-78.2196728746941
629,0,520,629,142,300,1311,76,178,1153,38,2016-09-01,fd80c8b1,51.3252770945621,-78.2196728746941
312,0,540,312,119,300,684,8,93,734,21,2016-10-01,fd80c8b1,51.3252770945621,-78.2196728746941
7,0,600,7,117,300,291,-42,27,574,12,2016-11-01,fd80c8b1,51.3252770945621,-78.2196728746941
