aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,22,0,22,234,145,-298,-209,104,0,2015-01-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,4,0,11,234,481,-328,-216,63,1,2015-02-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,-9,0,16,234,1240,-249,-110,149,3,2015-03-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,-1,0,17,234,2127,-147,-12,235,15,2015-04-01,fddcc2fa,61.570545619029,-108.31791161492
908,0,-157,946,6,773,2816,-28,100,381,48,2015-05-01,fddcc2fa,61.570545619029,-108.31791161492
884,364,-272,1248,41,340,2616,59,185,805,73,2015-06-01,fddcc2fa,61.570545619029,-108.31791161492
758,292,-180,1050,69,237,2090,91,190,1093,59,2015-07-01,fddcc2fa,61.570545619029,-108.31791161492
616,202,-138,818,59,184,1630,85,176,1040,53,2015-08-01,fddcc2fa,61.570545619029,-108.31791161492
407,0,-145,412,43,185,1021,17,97,681,27,2015-09-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,123,0,57,185,413,-53,-5,432,7,2015-10-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,119,0,22,185,165,-163,-100,261,0,2015-11-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,153,0,23,185,73,-225,-157,200,0,2015-12-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,150,0,15,186,119,-268,-182,128,0,2016-01-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,170,0,15,186,481,-283,-168,133,2,2016-02-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,130,0,13,186,1197,-221,-94,200,3,2016-03-01,fddcc2fa,61.570545619029,-108.31791161492
0,0,70,0,10,186,2025,-157,-24,318,8,2016-04-01,fddcc2fa,61.570545619029,-108.31791161492
695,0,90,695,33,942,2233,1,108,630,38,2016-05-01,fddcc2fa,61.570545619029,-108.31791161492
836,229,120,1065,45,549,2490,69,186,1021,72,2016-06-01,fddcc2fa,61.570545619029,-108.31791161492
712,306,120,1018,49,307,2246,106,204,1381,72,2016-07-01,fddcc2fa,61.570545619029,-108.31791161492
725,0,250,725,82,356,1643,86,180,1255,46,2016-08-01,fddcc2fa,61.570545619029,-108.31791161492
