aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,383,0,43,584,494,-232,-104,203,0,2015-01-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,387,0,44,584,1000,-286,-136,86,5,2015-02-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,320,0,33,584,1450,-128,12,301,15,2015-03-01,fffd6144,49.5249584405674,-92.0590606232967
448,0,220,557,37,584,2067,-49,92,427,37,2015-04-01,fffd6144,49.5249584405674,-92.0590606232967
893,0,346,893,141,584,2100,19,154,793,44,2015-05-01,fffd6144,49.5249584405674,-92.0590606232967
1000,94,330,1094,88,423,2374,81,214,1241,58,2015-06-01,fffd6144,49.5249584405674,-92.0590606232967
1237,24,380,1260,128,398,2376,132,248,1616,71,2015-07-01,fffd6144,49.5249584405674,-92.0590606232967
836,77,354,913,80,323,1852,114,221,1541,47,2015-08-01,fffd6144,49.5249584405674,-92.0590606232967
630,0,294,630,74,398,1602,86,199,1392,33,2015-09-01,fffd6144,49.5249584405674,-92.0590606232967
315,0,297,319,75,584,853,3,105,714,24,2015-10-01,fffd6144,49.5249584405674,-92.0590606232967
1,0,451,5,122,584,357,-44,35,612,0,2015-11-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,445,0,57,584,306,-116,-44,400,0,2015-12-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,380,0,30,584,440,-205,-106,231,0,2016-01-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,350,0,35,584,837,-187,-67,226,4,2016-02-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,410,0,80,584,1484,-98,34,406,16,2016-03-01,fffd6144,49.5249584405674,-92.0590606232967
167,0,440,167,76,584,1878,-51,64,479,26,2016-04-01,fffd6144,49.5249584405674,-92.0590606232967
958,0,380,958,61,584,2223,37,171,779,59,2016-05-01,fffd6144,49.5249584405674,-92.0590606232967
1053,0,380,1053,117,584,2369,92,209,1282,55,2016-06-01,fffd6144,49.5249584405674,-92.0590606232967
1116,94,360,1210,101,423,2482,134,240,1623,81,2016-07-01,fffd6144,49.5249584405674,-92.0590606232967
962,0,370,962,111,518,1989,122,230,1650,62,2016-08-01,fffd6144,49.5249584405674,-92.0590606232967
528,0,400,528,105,584,1254,88,172,1322,30,2016-09-01,fffd6144,49.5249584405674,-92.0590606232967
294,0,360,294,49,584,752,20,99,823,22,2016-10-01,fffd6144,49.5249584405674,-92.0590606232967
85,0,310,85,43,584,443,-25,56,634,8,2016-11-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,420,0,91,584,331,-185,-98,250,0,2016-12-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,390,0,44,584,462,-195,-97,273,0,2017-01-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,430,0,56,584,925,-165,-46,284,5,2017-02-01,fffd6144,49.5249584405674,-92.0590606232967
0,0,340,0,29,584,1546,-138,-4,298,11,2017-03-01,fffd6144,49.5249584405674,-92.0590606232967
460,0,290,460,60,584,1779,-36,89,529,31,2017-04-01,fffd6144,49.5249584405674,-92.0590606232967
817,41,250,858,53,514,2119,25,143,720,50,2017-05-01,fffd6144,49.5249584405674,-92.0590606232967
1022,55,220,1077,99,436,2237,93,215,1154,64,2017-06-01,fffd6144,49.5249584405674,-92.0590606232967
939,275,150,1214,75,207,2469,125,242,1557,86,2017-07-01,fffd6144,49.5249584405674,-92.0590606232967
